Core-index	Vocab-KO-Index	Sent-KO-Index	New-Opt-Voc-Index	Opt-Voc-Index	Opt-Sen-Index	"jlpt "	Vocab-expression	Vocab-kana	Vocab-meaning	Vocab-pos	Sentence-expression	Sentence-kana	Sentence-meaning	Vocab-furigana	Sentence-furigana	Sentence-Cloze
13	48	377	96	94	152	JLPT4	出る	でる	go out, leave	Verb	今朝は早く家を<b>出ました</b>。	けさ は はやく いえ を <b>でました</b>	I left the house early this morning.	出[で]る	今朝[けさ]は 早[はや]く 家[いえ]を<b> 出[で]ました</b>。	今朝[けさ]は 早[はや]く 家[いえ]を<b>（　）</b>。
14	187	188	197	196	84	JLPT4	使う	つかう	use	Verb	このパソコンを<b>使って</b>ください。	この ぱそこん を <b>つかって</b> ください	Please use this computer.	使[つか]う	このパソコンを<b> 使[つか]って</b>ください。	このパソコンを<b>（　）</b>ください。
15	0	420	32	39	185	JLPT0	ところ	ところ	place	Noun	私は友達の<b>ところ</b>に泊まった。	わたし は ともだち の <b>ところ</b> に とまった	I stayed at my friend's place for the night.	ところ	私[わたし]は 友達[ともだち]の<b>ところ</b>に 泊[と]まった。	私[わたし]は 友達[ともだち]の<b>（　）</b>に 泊[と]まった。
16	222	223	216	214	102	JLPT3	思う	おもう	think	Verb	私もそう<b>思います</b>。	わたし も そう <b>おもいます</b>	I think so too.	思[おも]う	私[わたし]もそう<b> 思[おも]います</b>。	私[わたし]もそう<b>（　）</b>。
17	262	263	234	233	114	JLPT4	持つ	もつ	have, possess	Verb	私は車を<b>持っています</b>。	わたし は くるま を <b>もって います</b>	I have a car.	持[も]つ	私[わたし]は 車[くるま]を<b> 持[も]っています</b>。	私[わたし]は 車[くるま]を<b>（　）</b>。
18	100	101	132	131	39	JLPT4	時間	じかん	time, hour	Noun	今は<b>時間</b>がありません。	いま は <b>じかん</b> が ありません	I don't have time now.	時間[じかん]	今[いま]は<b> 時間[じかん]</b>がありません。	今[いま]は<b>（　）</b>がありません。
19	32	417	65	64	180	JLPT4	今年	ことし	this year	Noun	<b>今年</b>はイタリアに旅行したい。	<b>ことし</b> は いたりあ に りょこう したい	I want to travel to Italy this year.	今年[ことし]	<b> 今年[ことし]</b>はイタリアに 旅行[りょこう]したい。	<b>（　）</b>はイタリアに 旅行[りょこう]したい。
20	226	899	221	220	321	JLPT4	知る	しる	know	Verb	誰もその話を<b>知らない</b>。	だれ も その はなし を <b>しらない</b>	No one knows that story.	知[し]る	誰[だれ]もその 話[はなし]を<b> 知[し]らない</b>。	誰[だれ]もその 話[はなし]を<b>（　）</b>。
21	186	187	196	195	83	JLPT4	作る	つくる	make, create	Verb	今、朝ご飯を<b>作っています</b>。	いま あさごはん を <b>つくって います</b>	I'm making breakfast now.	作[つく]る	今[いま]、 朝[あさ]ご 飯[はん]を<b> 作[つく]っています</b>。	今[いま]、 朝[あさ]ご 飯[はん]を<b>（　）</b>。
22	412	737	294	292	288	JLPT4	同じ	おなじ	same, identical	Adjectival Noun	彼の日本語のレベルは私と<b>同じ</b>位だ。	かれ の にほんご の れべる は わたし と <b>おなじ</b> くらい だ	His Japanese level is about the same as mine.	同[おな]じ	彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と<b> 同[おな]じ</b> 位[くらい]だ。	彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と<b>（　）</b> 位[くらい]だ。
23	32	441	66	65	210	JLPT4	今	いま	now	Adverb	彼は<b>今</b>、勉強しています。	かれ は <b>いま</b> べんきょう して います	He's studying now.	今[いま]	彼[かれ]は<b> 今[いま]</b>、 勉強[べんきょう]しています。	彼[かれ]は<b>（　）</b>、 勉強[べんきょう]しています。
24	543	544	334	333	274	JLPT3	続く	つづく	continue, follow	Verb	工事は3月まで<b>続きます</b>。	こうじ は さんがつ まで <b>つづきます</b>	Construction will continue until March.	続[つづ]く	工事[こうじ]は 3月[さんがつ]まで<b> 続[つづ]きます</b>。	工事[こうじ]は 3月[さんがつ]まで<b>（　）</b>。
25	163	164	187	186	76	JLPT4	国	くに	country	Noun	私の<b>国</b>について少しお話しましょう。	わたし の <b>くに</b> に ついて すこし おはなし しましょう	Let me tell you a bit about my country.	国[くに]	私[わたし]の<b> 国[くに]</b>について 少[すこ]しお 話[はなし]しましょう。	私[わたし]の<b>（　）</b>について 少[すこ]しお 話[はなし]しましょう。
26	179	419	193	192	184	JLPT2	未だ	まだ	yet, more	Adverb	宿題は<b>未だ</b>終わっていません。	しゅくだい は <b>まだ</b> おわって いません	I haven't finished my homework yet.	未[ま]だ	宿題[しゅくだい]は<b> 未[ま]だ</b> 終[お]わっていません。	宿題[しゅくだい]は<b>（　）</b> 終[お]わっていません。
27	0	760	40	47	295	JLPT4	やる	やる	do	Verb	一緒に宿題を<b>やろう</b>。	いっしょ に しゅくだい を <b>やろう</b>	Let's do our homework together.	やる	一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。	一緒[いっしょ]に 宿題[しゅくだい]を<b>（　）</b>。
28	121	1036	159	157	350	JLPT4	言う	いう	say, tell	Verb	上司が「一杯、飲もう。」と<b>言った</b>。	じょうし が いっぱい のもう と <b>いった</b>	"My boss said: ""Let's have a drink."""	言[い]う	上司[じょうし]が「 一杯[いっぱい]、 飲[の]もう。」と<b> 言[い]った</b>。	上司[じょうし]が「 一杯[いっぱい]、 飲[の]もう。」と<b>（　）</b>。
29	39	85	77	76	32	JLPT2	少ない	すくない	few, little	Adjective	今年は雨が<b>少ない</b>です。	ことし は あめ が <b>すくない</b> です 。	There's not much rain this year.	少[すく]ない	今年[ことし]は 雨[あめ]が<b> 少[すく]ない</b>です。	今年[ことし]は 雨[あめ]が<b>（　）</b>です。
30	34	418	73	72	182	JLPT4	行く	いく	go	Verb	日曜日は図書館に<b>行きます</b>。	にちようび は としょかん に <b>いきます</b>	I go to the library on Sundays.	行[い]く	日曜日[にちようび]は 図書館[としょかん]に<b> 行[い]きます</b>。	日曜日[にちようび]は 図書館[としょかん]に<b>（　）</b>。
31	225	226	219	218	106	JLPT3	決める	きめる	decide, agree upon	Verb	帰国することに<b>決めました</b>。	きこく する こと に <b>きめました</b>	I've decided to go back to my country.	決[き]める	帰国[きこく]することに<b> 決[き]めました</b>。	帰国[きこく]することに<b>（　）</b>。
32	101	244	133	132	107	JLPT4	高い	たかい	high, tall	Adjective	これがこの町で一番<b>高い</b>ビルです。	これ が この まち で いちばん <b>たかい</b> びる です	This is the tallest building in town.	高[たか]い	これがこの 町[まち]で 一番[いちばん]<b> 高[たか]い</b>ビルです。	これがこの 町[まち]で 一番[いちばん]<b>（　）</b>ビルです。
33	224	225	218	217	105	JLPT3	考える	かんがえる	think, consider	Verb	よく<b>考えて</b>ください。	よく <b>かんがえて</b> ください	Please think carefully.	考[かんが]える	よく<b> 考[かんが]えて</b>ください。	よく<b>（　）</b>ください。
34	616	2485	1004	339	399	JLPT2	感じる	かんじる	feel, sense	Verb	膝に痛みを<b>感じます</b>。	ひざ に いたみ を <b>かんじます</b>	I feel a pain in my knee.	感[かん]じる	膝[ひざ]に 痛[いた]みを<b> 感[かん]じます</b>。	膝[ひざ]に 痛[いた]みを<b>（　）</b>。
35	74	1050	113	112	359	JLPT4	子供	こども	child, kid	Noun	電車で<b>子供</b>が騒いでいた。	でんしゃ で <b>こども</b> が さわいで いた	Kids were making a racket in the train.	子供[こども]	電車[でんしゃ]で<b> 子供[こども]</b>が 騒[さわ]いでいた。	電車[でんしゃ]で<b>（　）</b>が 騒[さわ]いでいた。
36	0	223	48	55	103	JLPT4	そう	そう	in such manner, that way	Adverb	私も<b>そう</b>思います。	わたし も <b>そう</b> おもいます	That's what I think too.	そう	私[わたし]も<b>そう</b> 思[おも]います。	私[わたし]も<b>（　）</b> 思[おも]います。
37	271	278	239	237	121	JLPT4	大学	だいがく	university, college	Noun	<b>大学</b>に行ってもっと勉強したいです。	<b>だいがく</b> に いって もっと べんきょう したい です	I want to go to college and study more.	大学[だいがく]	<b> 大学[だいがく]</b>に 行[い]ってもっと 勉強[べんきょう]したいです。	<b>（　）</b>に 行[い]ってもっと 勉強[べんきょう]したいです。
38	0	441	56	63	211	JLPT4	もう	もう	already, yet	Adverb	彼は<b>もう</b>帰りました。	かれ は <b>もう</b> かえりました 。	He's already gone home.	もう	彼[かれ]は<b>もう</b> 帰[かえ]りました。	彼[かれ]は<b>（　）</b> 帰[かえ]りました。
39	156	157	178	177	71	JLPT4	近く	ちかく	near, close to	Adverb	駅の<b>近く</b>で食事をした。	えき の <b>ちかく</b> で しょくじ を した	I ate near the station.	近[ちか]く	駅[えき]の<b> 近[ちか]く</b>で 食事[しょくじ]をした。	駅[えき]の<b>（　）</b>で 食事[しょくじ]をした。
40	47	1380	93	92	376	JLPT4	入れる	いれる	put in	Verb	彼はかばんに手帳を<b>入れた</b>。	かれ は かばん に てちょう を <b>いれた</b>	He put the appointment book in his bag.	入[い]れる	彼[かれ]はかばんに 手帳[てちょう]を<b> 入[い]れた</b>。	彼[かれ]はかばんに 手帳[てちょう]を<b>（　）</b>。
41	271	441	240	238	212	JLPT4	学生	がくせい	student	Noun	彼は真面目な<b>学生</b>です。	かれ は まじめ な <b>がくせい</b> です	He's a serious student.	学生[がくせい]	彼[かれ]は 真面目[まじめ]な<b> 学生[がくせい]</b>です。	彼[かれ]は 真面目[まじめ]な<b>（　）</b>です。
42	108	250	140	139	109	JLPT4	午後	ごご	afternoon, p.m.	Noun	明日の<b>午後</b>、お客様が来る。	あす の <b>ごご</b> おきゃくさま が くる	A guest is coming to visit tomorrow afternoon.	午後[ごご]	明日[あす]の<b> 午後[ごご]</b>、お 客様[きゃくさま]が 来[く]る。	明日[あす]の<b>（　）</b>、お 客様[きゃくさま]が 来[く]る。
43	158	1268	183	181	367	JLPT4	長い	ながい	long	Adjective	彼女の髪はとても<b>長い</b>。	かのじょ の かみ は とても <b>ながい</b>	Her hair is very long.	長[なが]い	彼女[かのじょ]の 髪[かみ]はとても<b> 長[なが]い</b>。	彼女[かのじょ]の 髪[かみ]はとても<b>（　）</b>。
44	51	795	99	98	309	JLPT4	本	ほん	book, volume	Noun	<b>本</b>を１冊買いました。	<b>ほん</b> を いっさつ かいました	I bought one book.	本[ほん]	<b> 本[ほん]</b>を １冊買[いっさつ か]いました。	<b>（　）</b>を １冊買[いっさつ か]いました。
45	0	441	64	71	213	JLPT4	よく	よく	often	Adverb	彼女は<b>よく</b>旅行に行きます。	かのじょ は <b>よく</b> りょこう に いきます	She often goes on holiday.	よく	彼女[かのじょ]は<b>よく</b> 旅行[りょこう]に 行[い]きます。	彼女[かのじょ]は<b>（　）</b> 旅行[りょこう]に 行[い]きます。
46	440	441	317	315	214	JLPT3	彼女	かのじょ	she, one's girlfriend	Pronoun	<b>彼女</b>はOLです。	<b>かのじょ</b> は おーえる です	She's an office worker.	彼女[かのじょ]	<b> 彼女[かのじょ]</b>は OL[おーえる]です。	<b>（　）</b>は OL[おーえる]です。
47	99	441	131	130	215	JLPT4	聞く	きく	hear, ask	Verb	彼女はラジオを<b>聞いています</b>。	かのじょ は らじお を <b>きいて います</b>	She's listening to the radio.	聞[き]く	彼女[かのじょ]はラジオを<b> 聞[き]いています</b>。	彼女[かのじょ]はラジオを<b>（　）</b>。
48	0	223	72	79	104	JLPT4	どう	どう	how, what	Adverb	あなたは<b>どう</b>思いますか。	あなた は <b>どう</b> おもいます か	What do you think?	どう	あなたは<b>どう</b> 思[おも]いますか。	あなたは<b>（　）</b> 思[おも]いますか。
49	266	1236	236	235	366	JLPT3	生きる	いきる	live (one's life)	Verb	皆一生懸命<b>生きている</b>。	みんな いっしょうけんめい <b>いきて いる</b>	They're all living their lives the best way that they can.	生[い]きる	皆一生懸命[みんな いっしょうけんめい]<b> 生[い]きている</b>。	皆一生懸命[みんな いっしょうけんめい]<b>（　）</b>。
50	970	971	1039	374	334	JLPT4	言葉	ことば	word, language	Noun	この<b>言葉</b>の意味が分かりません。	この <b>ことば</b> の いみ が わかりません	I don't understand the meaning of this word.	言葉[ことば]	この<b> 言葉[ことば]</b>の 意味[いみ]が 分[わ]かりません。	この<b>（　）</b>の 意味[いみ]が 分[わ]かりません。
51	570	1861	1003	338	391	JLPT4	顔	かお	face	Noun	彼はタオルで<b>顔</b>を拭きました。	かれ は たおる で <b>かお</b> を ふきました	He wiped his face with a towel.	顔[かお]	彼[かれ]はタオルで<b> 顔[かお]</b>を 拭[ふ]きました。	彼[かれ]はタオルで<b>（　）</b>を 拭[ふ]きました。
52	0	738	79	87	289	JLPT4	どこ	どこ	where	Noun	あの本を<b>どこ</b>に置きましたか。	あの ほん を <b>どこ</b> に おきました か	Where did you put that book?	どこ	あの 本[ほん]を<b>どこ</b>に 置[お]きましたか。	あの 本[ほん]を<b>（　）</b>に 置[お]きましたか。
53	1	2	2	1	1	JLPT4	一つ	ひとつ	one (thing)	Noun	それを<b>一つ</b>ください。	それ を <b>ひとつ</b> ください	Please give me one of those.	一[ひと]つ	それを<b> 一[ひと]つ</b>ください。	それを<b>（　）</b>ください。
54	0	52	87	95	13	JLPT3	あげる	あげる	give	Verb	この本、あなたに<b>あげます</b>。	この ほん あなた に <b>あげます</b>	I'll give you this book.	あげる	この 本[ほん]、あなたに<b>あげます</b>。	この 本[ほん]、あなたに<b>（　）</b>。
55	0	128	95	103	59	JLPT3	こう	こう	like this, this kind of	Adverb	<b>こう</b>小さい字は読めない。	<b>こう</b> ちいさい じ は よめない	I can't read such small letters.	こう	<b>こう</b> 小[ちい]さい 字[じ]は 読[よ]めない。	<b>（　）</b> 小[ちい]さい 字[じ]は 読[よ]めない。
56	272	380	242	241	157	JLPT4	学校	がっこう	school	Noun	<b>学校</b>は8時半に始まります。	<b>がっこう</b> は はちじはん に はじまります	School starts at 8:30.	学校[がっこう]	<b> 学校[がっこう]</b>は 8時半[はちじはん]に 始[はじ]まります。	<b>（　）</b>は 8時半[はちじはん]に 始[はじ]まります。
57	0	904	103	111	325	JLPT3	くれる	くれる	be given	Verb	友達が誕生日プレゼントを<b>くれた</b>。	ともだち が たんじょうび ぷれぜんと を <b>くれた</b>	My friend gave me a birthday present.	くれる	友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>くれた</b>。	友達[ともだち]が 誕生日[たんじょうび]プレゼントを<b>（　）</b>。
58	781	782	1022	357	302	JLPT4	起きる	おきる	get up, get out of bed	Verb	私は毎朝6時に<b>起きます</b>。	わたし は まいあさ ろくじ に <b>おきます</b>	I get up at six o'clock every morning.	起[お]きる	私[わたし]は 毎朝6時[まいあさ ろくじ]に<b> 起[お]きます</b>。	私[わたし]は 毎朝6時[まいあさ ろくじ]に<b>（　）</b>。
59	201	210	202	201	96	JLPT4	春	はる	spring	Noun	今年の<b>春</b>は暖かいね。	ことし の <b>はる</b> は あたたかい ね	It's warm this spring, isn't it.	春[はる]	今年[ことし]の<b> 春[はる]</b>は 暖[あたた]かいね。	今年[ことし]の<b>（　）</b>は 暖[あたた]かいね。
60	108	109	141	140	43	JLPT4	午前	ごぜん	morning, a.m.	Noun	<b>午前</b>9時のニュースです。	<b>ごぜん</b> くじ の にゅーす です	And now for the 9.00 a.m. news.	午前[ごぜん]	<b> 午前[ごぜん]</b> 9時[くじ]のニュースです。	<b>（　）</b> 9時[くじ]のニュースです。
61	119	347	152	150	142	JLPT4	買う	かう	buy	Verb	郵便局で切手を<b>買いました</b>。	ゆうびんきょく で きって を <b>かいました</b>	I bought a stamp at the post office.	買[か]う	郵便局[ゆうびんきょく]で 切手[きって]を<b> 買[か]いました</b>。	郵便局[ゆうびんきょく]で 切手[きって]を<b>（　）</b>。
62	462	463	325	323	255	JLPT2	別	べつ	another, different	Adjectival Noun	<b>別</b>の本も見せてください。	<b>べつ</b> の ほん も みせて ください	Please show me another book.	別[べつ]	<b> 別[べつ]</b>の 本[ほん]も 見[み]せてください。	<b>（　）</b>の 本[ほん]も 見[み]せてください。
63	380	455	276	275	251	JLPT0	終わる	おわる	finish, end	Verb	会議は4時に<b>終わります</b>。	かいぎ は よじ に <b>おわります</b>	The conference ends at four o'clock.	終[お]わる	会議[かいぎ]は 4時[よじ]に<b> 終[お]わります</b>。	会議[かいぎ]は 4時[よじ]に<b>（　）</b>。
64	438	441	315	314	216	JLPT4	若い	わかい	young	Adjective	彼はまだ<b>若い</b>です。	かれ は まだ <b>わかい</b> です	He's still young.	若[わか]い	彼[かれ]はまだ<b> 若[わか]い</b>です。	彼[かれ]はまだ<b>（　）</b>です。
65	0	441	111	119	217	JLPT2	かなり	かなり	fairly, rather	Adverb	彼は<b>かなり</b>英語が上手です。	かれ は <b>かなり</b> えいご が じょうず です	He's pretty good at English.	かなり	彼[かれ]は<b>かなり</b> 英語[えいご]が 上手[じょうず]です。	彼[かれ]は<b>（　）</b> 英語[えいご]が 上手[じょうず]です。
66	737	738	1014	349	290	JLPT4	置く	おく	put, leave	Verb	彼はかばんをいすの上に<b>置きました</b>。	かれ は かばん を いす の うえ に <b>おきました</b>	He put the bag on the chair.	置[お]く	彼[かれ]はかばんをいすの 上[うえ]に<b> 置[お]きました</b>。	彼[かれ]はかばんをいすの 上[うえ]に<b>（　）</b>。
67	236	441	224	222	218	JLPT4	住む	すむ	live, reside	Verb	彼は会社の近くに<b>住んでいる</b>。	かれ は かいしゃ の ちかく に <b>すんで いる</b>	He lives near his office.	住[す]む	彼[かれ]は 会社[かいしゃ]の 近[ちか]くに<b> 住[す]んでいる</b>。	彼[かれ]は 会社[かいしゃ]の 近[ちか]くに<b>（　）</b>。
68	780	781	1021	356	301	JLPT3	戻る	もどる	return, turn back	Verb	今、会社に<b>戻ります</b>。	いま かいしゃ に <b>もどります</b>	I'm going back to the office now.	戻[もど]る	今[いま]、 会社[かいしゃ]に<b> 戻[もど]ります</b>。	今[いま]、 会社[かいしゃ]に<b>（　）</b>。
69	375	432	270	268	195	JLPT4	働く	はたらく	work	Verb	姉は銀行で<b>働いています</b>。	あね は ぎんこう で <b>はたらいています</b>。	My big sister works at a bank.	働[はたら]く	姉[あね]は 銀行[ぎんこう]で<b> 働[はたら]いています</b>。	姉[あね]は 銀行[ぎんこう]で<b>（　）</b>。
70	107	398	138	137	169	JLPT4	後	あと	after	Adverb	仕事の<b>後</b>、映画を見た。	しごと の <b>あと</b> えいが を みた	I saw a movie after work.	後[あと]	仕事[しごと]の<b> 後[あと]</b>、 映画[えいが]を 見[み]た。	仕事[しごと]の<b>（　）</b>、 映画[えいが]を 見[み]た。
71	266	267	238	236	116	JLPT4	先生	せんせい	teacher	Noun	私は日本語の<b>先生</b>になりたいです。	わたし は にほんご の <b>せんせい</b> に なりたい です	I want to become a Japanese teacher.	先生[せんせい]	私[わたし]は 日本語[にほんご]の<b> 先生[せんせい]</b>になりたいです。	私[わたし]は 日本語[にほんご]の<b>（　）</b>になりたいです。
72	366	441	265	264	219	JLPT4	立つ	たつ	stand, rise	Verb	彼はステージに<b>立った</b>。	かれ は すてーじ に <b>たった</b>	He stood on stage.	立[た]つ	彼[かれ]はステージに<b> 立[た]った</b>。	彼[かれ]はステージに<b>（　）</b>。
73	83	493	120	118	269	JLPT3	気	き	spirit, temperament	Noun	彼は意外に<b>気</b>が小さい。	かれ は いがい に <b>き</b> が ちいさい	He's unexpectedly timid.	気[き]	彼[かれ]は 意外[いがい]に<b> 気[き]</b>が 小[ちい]さい。	彼[かれ]は 意外[いがい]に<b>（　）</b>が 小[ちい]さい。
74	971	972	1040	375	336	JLPT4	呼ぶ	よぶ	call, name	Verb	ウェイターを<b>呼びましょう</b>。	うぇいたー を <b>よびましょう</b>	Let's call the waiter.	呼[よ]ぶ	ウェイターを<b> 呼[よ]びましょう</b>。	ウェイターを<b>（　）</b>。
75	0	157	119	127	72	JLPT4	もっと	もっと	more	Adverb	<b>もっと</b>近くに来てください。	<b>もっと</b> ちかく に きて ください	Please come closer.	もっと	<b>もっと</b> 近[ちか]くに 来[き]てください。	<b>（　）</b> 近[ちか]くに 来[き]てください。
76	35	80	74	73	29	JLPT4	帰る	かえる	return, go back	Verb	家に<b>帰ろう</b>。	うち に <b>かえろう</b>	Let's go home.	帰[かえ]る	家[うち]に<b> 帰[かえ]ろう</b>。	家[うち]に<b>（　）</b>。
77	262	441	235	234	220	JLPT3	気持ち	きもち	feeling, sensation	Noun	彼の<b>気持ち</b>が分からない。	かれ の <b>きもち</b> が わからない	I don't understand his feelings.	気持[きも]ち	彼[かれ]の<b> 気持[きも]ち</b>が 分[わ]からない。	彼[かれ]の<b>（　）</b>が 分[わ]からない。
78	511	1042	331	330	355	JLPT4	飛ぶ	とぶ	fly	Verb	鳥が<b>飛んでいます</b>。	とり が <b>とんで います</b>	A bird is flying.	飛[と]ぶ	鳥[とり]が<b> 飛[と]んでいます</b>。	鳥[とり]が<b>（　）</b>。
79	142	435	169	168	202	JLPT4	車	くるま	car, automobile	Noun	弟が<b>車</b>を買った。	おとうと が <b>くるま</b> を かった	My younger brother bought a car.	車[くるま]	弟[おとうと]が<b> 車[くるま]</b>を 買[か]った。	弟[おとうと]が<b>（　）</b>を 買[か]った。
80	356	871	262	260	316	JLPT3	変える	かえる	change	Verb	旅行の日程を<b>変えました</b>。	りょこう の にってい を <b>かえました</b>	I changed our travel schedule.	変[か]える	旅行[りょこう]の 日程[にってい]を<b> 変[か]えました</b>。	旅行[りょこう]の 日程[にってい]を<b>（　）</b>。
81	160	441	185	184	221	JLPT4	広い	ひろい	wide, big	Adjective	彼の家はとても<b>広い</b>。	かれ の いえ は とても <b>ひろい</b>	His house is very big.	広[ひろ]い	彼[かれ]の 家[いえ]はとても<b> 広[ひろ]い</b>。	彼[かれ]の 家[いえ]はとても<b>（　）</b>。
82	29	493	61	60	270	JLPT0	分かる	わかる	understand	Verb	質問の意味は<b>分かりました</b>か。	しつもん の いみ は <b>わかりました</b> か	Did you understand the meaning of the question?	分[わ]かる	質問[しつもん]の 意味[いみ]は<b> 分[わ]かりました</b>か。	質問[しつもん]の 意味[いみ]は<b>（　）</b>か。
83	297	298	252	251	129	JLPT2	数	かず	number	Noun	グラスの<b>数</b>が足りません。	ぐらす の <b>かず</b> が たりません	There are not enough glasses.	数[かず]	グラスの<b> 数[かず]</b>が 足[た]りません。	グラスの<b>（　）</b>が 足[た]りません。
84	156	157	179	178	73	JLPT4	近い	ちかい	near, soon	Adjective	駅はここから<b>近い</b>です。	えき は ここ から <b>ちかい</b> です	The station is near here.	近[ちか]い	駅[えき]はここから<b> 近[ちか]い</b>です。	駅[えき]はここから<b>（　）</b>です。
85	0	368	127	135	148	JLPT4	そこ	そこ	there	Pronoun	<b>そこ</b>に座ってください。	<b>そこ</b> に すわって ください	Please sit there.	そこ	<b>そこ</b>に 座[すわ]ってください。	<b>（　）</b>に 座[すわ]ってください。
86	153	441	177	176	222	JLPT4	走る	はしる	run	Verb	彼は毎晩3キロ<b>走っています</b>。	かれ は まいばん さんきろ <b>はしって います</b>	Every night he runs three kilometers.	走[はし]る	彼[かれ]は 毎晩3[まいばん さん]キロ<b> 走[はし]っています</b>。	彼[かれ]は 毎晩3[まいばん さん]キロ<b>（　）</b>。
87	191	441	200	198	223	JLPT4	売る	うる	sell	Verb	彼は家を<b>売った</b>。	かれ は いえ を <b>うった</b>	He sold the house.	売[う]る	彼[かれ]は 家[いえ]を<b> 売[う]った</b>。	彼[かれ]は 家[いえ]を<b>（　）</b>。
88	111	263	142	141	115	JLPT4	朝	あさ	morning	Noun	気持ちのいい<b>朝</b>です。	きもち の いい <b>あさ</b> です	It's a pleasant morning.	朝[あさ]	気持[きも]ちのいい<b> 朝[あさ]</b>です。	気持[きも]ちのいい<b>（　）</b>です。
89	273	441	244	243	224	JLPT4	教える	おしえる	teach, tell	Verb	彼は数学を<b>教えています</b>。	かれ は すうがく を <b>おしえて います</b>	He teaches mathematics.	教[おし]える	彼[かれ]は 数学[すうがく]を<b> 教[おし]えています</b>。	彼[かれ]は 数学[すうがく]を<b>（　）</b>。
